,outcome_dialysis_y_n,FU_ESRD,FU_15y_ESRD,CensorHD_15y,lostFU5yrs,Death_or_HD,Death_NoHD,treatment_response,relapse_Y_N,relapse_number,R_vs_NR,gender_0_1,bmi_kgm2,age,hypertension,immunosuppresion_y_n,acearb_y_n,egfr_ckd_epi_mlmin,urine_protein_gday,UPr_35g,serum_albumin_gdl,microspopic_hematuria,bx_date,dialysis_date,yearstodialysis,fu_month,FU_years,transplant,id,patients,kg,bmi,year_of_birth,birthday,year_of_bx,nephrotic,serum_creatinine_mgdl,serum_proteins_gdl,cholesterol_mgdl,triglycerides_mgdl,hdl_mgdl,hb_gdl,hct_,antihypertensives0123,antihypertensive_drugs_y_n,immunos_type,type_of_immunosuppresion,other_immunosuppresive_drugs_y_n,OnlyCsa_Onlyster_vsother,Cs_only_vs_Csa_vs_other,corticosteroids_y_n,cyclosporine_y_n,cyclophosphamide_y_n,rituximab_y_n,mpa_y_n,others_name,complete_remission_y_n,partial_remission_y_n,no_response_y_n,relapse_treatment_immunosuppresi,relapse_treatment_type,relapse_type_of_treatment,relapse_treatment_corticosteroid,relapse_treatment_cyclosporine_y,relapse_treatment_cyclophosphami,relapse_treatment_rituximab_y_n,relapse_treatment_mpa_y_n,relapse_treatment_other_drugs__y,relapse_treatment_other_name,efu_date,efu_year,efu_serum_creatinine_mgdl,efu_egfr_ckd_epi_mlmin,efu_urine_protein_gday,efu_serum_protein_gdl,efu_serum_albumin_gdl,efu_cholesterol_mgdl,efu_triglycerides_mgdl,efu_immunosuppresion_y_n,efu_treatment_type,efu_immunosuppresion_type,efu_corticosteroids_y_n,efu_cyclosporine_y_n,efu_cyclophosphamide_y_n,efu_rituximab_y_n,efu_mpa_y_n,efu_other_drugs,efu_antihypertensives,efu_acearb_y_n,efu_antihypertensives_y_n,dx_year,death_y_n,death_date,death_year,CB,CC,CD,CE,CF,CG,CH,CI,CJ,CK,CL,CM,CN,CO,biopsydate,xb,_st,_d,_t,_t0
count,579.0,579.0,579.0,579.0,579.0,579.0,579.0,493,579.0,579.0,0.0,579,579.0,579.0,579.0,500,509,579.0,579.0,579.0,579.0,579.0,567,83,579.0,579.0,579.0,16,579.0,579,579.0,579.0,579.0,526,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,295,579.0,463,579.0,486,484,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,424,579.0,579.0,579.0,579.0,579.0,453.0,450.0,449.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0,450.0,579.0,579.0,19,579.0,13,39,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567,579.0,579.0,579.0,579.0,579.0
unique,,,,,,,,3,,,,2,,,,2,2,,,,,,532,82,,,,16,,579,,,,417,,,,,,,,,,,,,,,4,,2,,2,2,,,,,,,,,,,,,,,,349,,,,,,,,,,,,,,,,,,,,,,,19,,13,38,3,,,,,,,,,,,,1,,,,,
top,,,,,,,,PR,,,,M,,,,Y,Y,,,,,,2/20/2006,6/8/2018,,,,ΔΙΑΓΝΩΣΗ ΜΕ ΚΑΚΟΗΘΕΙΑ ΤΡΑΧΗΛΟΥ - ΕΝΑΡΞΗ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ ΚΑΙ ΧΗΜΕΙΟΘΕΡΑΠΕΙΑΣ,,P17,,,,1/1/1954,,,,,,,,,,,,,,,Cs_only,,Y,,N,N,,,,,,,,,,,,,,,,5-Jul-20,,,,,,,,,,,,,,,,,,,,,,,12/17/2018,,ΔΙΑΓΝΩΣΗ ΜΕ ΚΑΚΟΗΘΕΙΑ ΤΡΑΧΗΛΟΥ - ΕΝΑΡΞΗ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ ΚΑΙ ΧΗΜΕΙΟΘΕΡΑΠΕΙΑΣ,IgA-FSGS like,Ιιπαθης πιθανοτατα από την βιοψια. Παρουσιαστηκε με νεφρωσικου επιπεδου λευκωμαοτυρια Την βαζω για πληρεστερη  συμπληρωση  του αρχειου,,,,,,,,,,,,1/1/1960,,,,,
freq,,,,,,,,212,,,,378,,,,309,396,,,,,,2,2,,,,1,,1,,,,9,,,,,,,,,,,,,,,135,,269,,469,477,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,1,,,,,,,,,,,,567,,,,,
mean,0.15198618307426598,7.734165205699482,9.477488393955094,0.14162348877374784,1.0,0.17616580310880828,0.015544041450777202,,0.7633851468048359,1.0189982728842832,,,30.48702936096719,46.336649293609675,0.7098445595854922,,,69.38716753022452,4.6978894645941285,0.5613126079447323,3.4298272884283243,0.6632124352331606,,,5.114957766062177,93.89464594127807,7.824553843523316,,357.22279792746116,,79.52711571675302,27.07943005181347,1961.80310880829,,2007.658031088083,0.5682210708117443,1.3715889464594129,6.370293609671848,264.04093264248706,205.94317789291884,54.3307426597582,13.520690846286701,40.686563039723666,1.837651122625216,0.5924006908462867,1.5544041450777202,2.461139896373057,0.03454231433506045,,1.849740932642487,,0.21761658031088082,,,0.06735751295336788,0.1001727115716753,0.3022452504317789,0.687392055267703,0.1848013816925734,0.8151986183074266,1.4525043177892918,1.5008635578583764,0.7996545768566494,0.16580310880829016,0.046632124352331605,0.022452504317789293,0.0535405872193437,0.018998272884283247,0.018998272884283247,,2015.9067357512954,2.1126597582037996,53.39423143350605,62.35143523316062,6.969360967184802,3.978300220750552,196.21822222222224,165.5703786191537,0.18307426597582038,0.5371329879101899,0.616580310880829,0.09153713298791019,0.08117443868739206,0.0017271157167530224,0.0,0.02936096718480138,0.02072538860103627,1.8255613126079446,0.7823834196891192,0.54,2010.9257340241795,0.039723661485319514,,2011.958549222798,,,,,,,,,,,,,,,,-3.897664104806563,1.0,0.14162348877374784,9.477488392989638,0.0
std,0.3593179233644998,4.806693128549855,5.086548572885399,0.34896503904899184,0.0,0.38129057860605337,0.12380993097709014,,0.4253713320034876,1.0229131165165708,,,13.186411211584668,14.33740897830062,0.454226377585068,,,27.361211259419978,3.889421529231753,0.4966556011868243,0.8877370853743028,0.4730202320348455,,,1.9277549476680815,57.237781419299225,4.769815130954626,,199.29363262609974,,3.6368700855898717,3.5072779278985666,14.642779578304033,,7.308369633845455,0.4957523165328014,0.7479496057553473,0.9984613163009394,87.05212136261098,105.6252789398881,18.941863925260208,1.7603026063294693,4.92107899181506,1.0194808414249261,0.4918128372162859,1.9469771928107826,5.018973627769216,0.1827753821892505,,0.5422104271413968,,0.4129820469149962,,,0.25085686028270526,0.6937561156298222,0.45962802994088137,0.46395688336886803,0.3884719692116023,0.3884719692116026,1.599872328783433,1.7254203480732193,0.40060492950307564,0.3722253790287385,0.21103195383788392,0.14827799013890822,0.22530349310933132,0.1366366826368184,0.14876085054358684,,5.68080659305514,1.9138462441687862,28.798941335219048,427.28571956355444,0.5989989682302719,0.6196105527682053,51.93685626940396,84.0197326954948,0.38706179108142486,1.3541884536861097,1.648571169652967,0.2886207864895425,0.27333896400199165,0.04155858174616913,0.0,0.16896214619702932,0.14258667816556383,0.9731531995430976,0.412982046914996,0.49895213136999944,2.895470320856599,0.19547810161445717,,1.2048095524580003,,,,,,,,,,,,,,,,1.1584422361471745,0.0,0.34896503904899184,5.086548571549368,0.0
min,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,,16.0,17.571526,0.0,,,9.3,0.01,0.0,0.9,0.0,,,1.1334702,6.0,0.5,,2.0,,57.0,16.0,1920.0,,1982.0,0.0,0.4,3.0,83.0,11.0,11.0,7.5,22.7,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1991.0,0.5,4.0,0.0,3.6,0.45,65.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991.0,0.0,,1995.0,,,,,,,,,,,,,,,,-8.219184799,1.0,0.0,1.0,0.0
25%,0.0,4.5,4.5,0.0,1.0,0.0,0.0,,1.0,1.0,,,27.7,35.4866525,0.0,,,51.0,2.0,0.0,2.8,0.0,,,4.90622855,57.0,4.75,,185.5,,79.5,27.0,1953.0,,2004.0,0.0,0.9,5.9,210.0,142.0,44.0,12.4,37.9,1.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2015.0,1.05,35.5,0.4,6.8,3.7,165.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2011.0,0.0,,2012.0,,,,,,,,,,,,,,,,-3.819892676,1.0,0.0,4.5,0.0
50%,0.0,6.8333335,9.416667,0.0,1.0,0.0,0.0,,1.0,1.0,,,27.8,46.420261,1.0,,,68.0,3.8,1.0,3.6,1.0,,,4.90622855,84.0,7.0,,362.0,,79.5,27.0,1962.0,,2008.0,1.0,1.2,6.6,251.0,188.0,50.5,13.5,40.8,2.0,1.0,1.0,1.0,0.0,,2.0,,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2018.0,1.4,51.0,1.0,7.0,4.1,192.5,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2011.0,0.0,,2012.0,,,,,,,,,,,,,,,,-3.819892676,1.0,0.0,9.416666985,0.0
75%,0.0,9.340178,15.0,0.0,1.0,0.0,0.0,,1.0,1.0,,,28.0,56.021902,1.0,,,86.3,5.95,1.0,4.1,1.0,,,4.90622855,112.0,9.333333,,532.5,,79.5,27.0,1972.0,,2014.0,1.0,1.6,7.0,295.0,241.5,60.0,14.6,43.9,3.0,1.0,2.0,2.0,0.0,,2.0,,0.0,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020.0,2.1,69.95,2.215,7.2,4.3,220.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2011.0,0.0,,2012.0,,,,,,,,,,,,,,,,-3.819892676,1.0,0.0,15.0,0.0
max,1.0,29.666666,15.0,1.0,1.0,1.0,1.0,,1.0,10.0,,,110.0,82.57358,1.0,,,145.0,33.0,1.0,7.4,1.0,,,25.374401,356.0,29.666666,,699.0,,110.0,44.0,1997.0,,2020.0,1.0,6.37,8.9,720.0,763.0,149.0,18.0,54.7,3.0,1.0,7.0,27.0,1.0,,3.0,,1.0,,,1.0,8.0,1.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2020.0,13.7,148.0,5472.0,9.0,5.8,503.0,645.0,1.0,6.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,2020.0,1.0,,2018.0,,,,,,,,,,,,,,,,0.319107041,1.0,1.0,15.0,0.0
